ID,Name,Link,Exam,Questions,Answers
22,Forvaltningslære,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=22&fagnavn=Forvaltningsl%E6re,"2011 Sommer, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/FV-LæreØKONOMISKKANDIDATEKSAMEN - 18. august 2011 Re-Eksamen.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningslære SR11.pdf
22,Forvaltningslære,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=22&fagnavn=Forvaltningsl%E6re,2010 Sommer,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningslære S10.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningslære S10.pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,"2015 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret februar 16.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv ForvRet Efterår 2015 - rettevejledning (Re-eksamen 9.  febr  2016).pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,2015 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret vinter 15-16.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv ForvRet Efterår 2015 - rettevejledning (eksamen 6.  jan  2016).pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,2014 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret december 14.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv ForvRet Efterår 2014 - rettevejledning (eksamen 19. december 2014).pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,"2013 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret VR13-14.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv ForvRet Efterår 2013 - rettevejledning (re-eksamen 20. februar 2014).pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,2013 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret V13-14.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv ForvRet Efterår 2013 - rettevejledning (eksamen 6.  jan  2014).pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,"2012 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret VR12-13.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningsret VR12-13.pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,2012 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret V12-13.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningsret V12-13.pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,"2011 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/FV-Ret  23. februar 2012.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningsret VR11-12.pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,2011 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/FV-Ret 12. januar 2012doc.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningsret V11-12.pdf
